Date,Year,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Crime_Type,Crime_Cause,Severity,Arrests,Response_Time,Incident_Duration
09/10/2025,2025,0:22,Friday,San Mateo (Imok),14.031094,121.333158,Sunny,Harassment,Other,Low,2,30,113
01/11/2022,2022,21:42,Sunday,III-E,14.106046,121.312662,Sunny,Harassment,Alcohol,Medium,3,30,116
24/05/2020,2020,22:01,Wednesday,II-C (Unson),14.080902,121.281272,Sunny,Theft,Personal Dispute,High,3,9,69
24/07/2020,2020,18:35,Sunday,VII-D,14.090744,121.320815,Sunny,Robbery,Unemployment,Medium,0,9,19
03/07/2025,2025,4:06,Wednesday,VI-D (Lakeside),14.050497,121.347081,Cloudy,Assault,Gang Activity,High,2,16,107
22/02/2023,2023,1:51,Wednesday,Santa Cruz (Putol),14.084467,121.310757,Sunny,Theft,Drugs,Low,0,20,59
27/08/2021,2021,21:02,Tuesday,VII-A (P.Alcantara),14.095322,121.333089,Sunny,Vandalism,Domestic Issue,Low,1,18,117
29/08/2021,2021,16:39,Tuesday,Santo Cristo,14.108606,121.351857,Foggy,Vandalism,Personal Dispute,High,3,13,87
03/11/2023,2023,0:57,Sunday,III-F (Balagtas),14.026316,121.351413,Rainy,Other,Alcohol,Low,2,5,35
22/12/2025,2025,3:58,Friday,Santa Cruz (Putol),14.042627,121.284167,Cloudy,Vandalism,Other,Low,3,13,81
15/01/2024,2024,0:29,Friday,San Marcos (Tikew),14.017655,121.290538,Sunny,Domestic Violence,Domestic Issue,High,3,24,55
19/05/2024,2024,3:14,Wednesday,San Jose (Malamig),14.019967,121.334753,Cloudy,Drug-Related,Domestic Issue,Low,1,17,69
17/08/2024,2024,14:04,Tuesday,San Lucas 1 (Malinaw),14.097241,121.271508,Foggy,Fraud,Other,High,3,13,107
06/03/2022,2022,9:02,Saturday,San Buenaventura (Palakpakin),14.09724,121.346706,Stormy,Other,Gang Activity,High,1,6,72
06/01/2021,2021,17:00,Tuesday,San Cristobal,14.06818,121.331853,Sunny,Drug-Related,Other,Low,3,10,18
07/02/2024,2024,3:25,Wednesday,VII-B,14.039798,121.324354,Rainy,Vandalism,Alcohol,Low,3,11,70
04/11/2025,2025,3:39,Thursday,III-D (Villongco),14.039437,121.276813,Rainy,Burglary,Drugs,Medium,2,22,64
28/07/2022,2022,4:15,Wednesday,San Mateo (Imok),14.027037,121.335844,Stormy,Harassment,Other,High,2,14,63
07/06/2022,2022,10:55,Wednesday,VI-E (YMCA),14.098219,121.321572,Stormy,Vandalism,Other,High,0,10,34
15/04/2024,2024,11:30,Wednesday,II-B (Guadalupe 1),14.070783,121.360193,Cloudy,Other,Alcohol,Medium,0,23,12
25/10/2020,2020,8:06,Saturday,San Mateo (Imok),14.096588,121.355102,Rainy,Harassment,Mental Health,Medium,0,23,96
06/12/2020,2020,6:07,Sunday,VI-D (Lakeside),14.076112,121.298901,Sunny,Fraud,Personal Dispute,Low,0,17,38
27/03/2025,2025,11:25,Monday,San Isidro (Balagbag),14.096843,121.272958,Cloudy,Fraud,Gang Activity,High,3,15,17
26/01/2024,2024,10:06,Wednesday,Santa Maria,14.092943,121.293982,Cloudy,Vandalism,Personal Dispute,Medium,0,23,67
28/06/2021,2021,8:12,Friday,Santa Catalina (Sandig),14.073701,121.296796,Sunny,Drug-Related,Personal Dispute,High,1,10,12
26/09/2020,2020,10:16,Saturday,Concepcion (Bunot),14.030674,121.368456,Cloudy,Fraud,Alcohol,Medium,0,29,77
18/02/2020,2020,11:54,Sunday,San Gabriel (Butucan),14.098017,121.28967,Cloudy,Assault,Other,High,2,30,73
29/03/2022,2022,19:53,Friday,VII-C,14.049379,121.274738,Sunny,Assault,Other,High,1,9,17
31/03/2021,2021,10:08,Thursday,VII-C,14.019813,121.352819,Stormy,Other,Domestic Issue,High,0,30,28
26/04/2020,2020,2:46,Saturday,Santo Cristo,14.072664,121.308825,Foggy,Burglary,Unemployment,High,3,23,111
19/08/2020,2020,19:17,Sunday,II-E (San Anton),14.014441,121.366978,Foggy,Fraud,Gang Activity,Low,2,25,78
20/11/2023,2023,6:30,Friday,Atisan,14.079658,121.309631,Rainy,Other,Opportunistic,Medium,3,24,72
12/07/2021,2021,14:47,Monday,Santo Niño (Arsum),14.096811,121.350212,Rainy,Robbery,Opportunistic,High,1,11,100
28/02/2021,2021,4:58,Sunday,IV-C,14.057241,121.355215,Foggy,Robbery,Opportunistic,Low,3,22,75
04/02/2021,2021,3:36,Monday,III-B,14.064739,121.338345,Foggy,Drug-Related,Opportunistic,High,2,27,78
18/05/2020,2020,9:04,Monday,VI-A (Mavenida),14.06583,121.273926,Cloudy,Robbery,Domestic Issue,High,2,21,54
31/03/2020,2020,15:32,Saturday,II-C (Unson),14.051758,121.288925,Rainy,Domestic Violence,Personal Dispute,High,3,16,39
26/09/2024,2024,14:18,Thursday,San Diego (Tiim),14.037869,121.339922,Stormy,Domestic Violence,Alcohol,High,0,16,56
17/06/2021,2021,18:14,Wednesday,VI-C (Bagong Pook),14.027482,121.299126,Foggy,Fraud,Poverty,Low,0,25,18
28/05/2024,2024,3:07,Friday,Atisan,14.059347,121.311563,Foggy,Assault,Poverty,Low,0,7,20
28/03/2022,2022,6:42,Monday,Concepcion (Bunot),14.069496,121.333883,Stormy,Harassment,Alcohol,Medium,3,13,35
18/04/2024,2024,9:53,Sunday,Soledad (Macopa),14.052734,121.27073,Cloudy,Robbery,Alcohol,High,3,23,118
07/06/2020,2020,14:18,Monday,III-C (Labak/De Roma),14.085984,121.285844,Cloudy,Other,Gang Activity,High,1,6,41
27/10/2021,2021,13:22,Monday,Santa Cruz (Putol),14.084804,121.280516,Sunny,Theft,Domestic Issue,Low,3,19,74
15/01/2022,2022,7:07,Tuesday,Santiago I (Bulaho),14.101862,121.327708,Sunny,Drug-Related,Gang Activity,Medium,3,15,13
26/07/2021,2021,0:39,Sunday,San Pedro,14.053901,121.270692,Stormy,Other,Opportunistic,Low,0,9,74
08/11/2024,2024,21:19,Saturday,VII-E,14.011769,121.311708,Sunny,Robbery,Other,Medium,0,14,13
07/06/2025,2025,19:03,Saturday,San Lorenzo (Saluyan),14.022708,121.33878,Stormy,Burglary,Unemployment,Medium,2,11,39
14/09/2021,2021,8:58,Saturday,San Pedro,14.106669,121.340611,Rainy,Fraud,Domestic Issue,Low,1,21,19
12/01/2021,2021,12:09,Sunday,Santiago II (Bulaho),14.019251,121.272479,Sunny,Drug-Related,Domestic Issue,Medium,1,28,10
03/11/2023,2023,18:09,Tuesday,VII-A (P.Alcantara),14.051905,121.321941,Foggy,Robbery,Drugs,High,0,7,11
28/03/2020,2020,4:32,Friday,San Lucas 1 (Malinaw),14.048676,121.330761,Foggy,Fraud,Opportunistic,High,0,8,21
29/11/2022,2022,3:28,Thursday,San Marcos (Tikew),14.104613,121.296727,Cloudy,Burglary,Poverty,High,0,15,77
26/04/2020,2020,9:14,Monday,V-A,14.108519,121.316538,Rainy,Assault,Personal Dispute,Medium,0,15,43
30/09/2020,2020,23:10,Thursday,San Joaquin,14.01136,121.356245,Cloudy,Vandalism,Personal Dispute,Medium,3,11,61
02/08/2025,2025,22:54,Thursday,San Pedro,14.011515,121.324135,Sunny,Harassment,Alcohol,Low,0,22,31
08/12/2022,2022,0:45,Saturday,San Diego (Tiim),14.088178,121.351193,Stormy,Burglary,Mental Health,Low,2,12,18
